"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Indomaret+Kebahagiaan+Raya/data=!4m7!3m6!1s0x2e69eb90c8715bf3:0xaafae0394908c276!8m2!3d-6.3966808!4d106.8512094!16s%2Fg%2F1ptvzg_vb!19sChIJ81txyJDraS4RdsIISTng-qo?authuser=0&hl=id&rclk=1","Indomaret Kebahagiaan Raya","4,4","(92)","Minimarket","·","Jl. Kejayaan No.273 1, RT.1/RW.10","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","·","0816-500-580","https://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomart+Gg.+Bakti/data=!4m7!3m6!1s0x2e69ec434593911b:0x335ed014a84fe32d!8m2!3d-6.3551757!4d106.8523052!16s%2Fg%2F11c1_vtfk0!19sChIJG5GTRUPsaS4RLeNPqBTQXjM?authuser=0&hl=id&rclk=1","Indomart Gg. Bakti","4,6","(279)","Kedai Kopi","·","Jl. Komjen. Pol. M. Jasin No.73","Buka 24 jam","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Asik ya tempatnya, supermarket","·","(021) 1500280","https://pointcoffee.id/","","Rute","",""
"https://www.google.com/maps/place/Alfamart+Tole+Iskandar+Depok/data=!4m7!3m6!1s0x2e69ebc09ca8b557:0x8325172666b8246b!8m2!3d-6.4044674!4d106.8409669!16s%2Fg%2F1hm2txl9p!19sChIJV7WonMDraS4RayS4ZiYXJYM?authuser=0&hl=id&rclk=1","Alfamart Tole Iskandar Depok","4,2","(198)","Minimarket","·","·","Buka 24 jam","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pegawai baik,sopan ,bersih harga terjangkau ,kita dari pekanbaru""","Jl. Tole Iskandar","","","","","",""
"https://www.google.com/maps/place/Alfamart+Merdeka+Timur/data=!4m7!3m6!1s0x2e69eb973bb5df4f:0x6636dd3295600db2!8m2!3d-6.3967698!4d106.8515081!16s%2Fg%2F1hm1xrb__!19sChIJT9-1O5fraS4Rsg1glTLdNmY?authuser=0&hl=id&rclk=1","Alfamart Merdeka Timur","4,1","(117)","Minimarket","·","JV32+7JR, Jl. Kejayaan","Buka 24 jam","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tandain ni kasirnya RAIDHA""","·","0815-8644-5497","","","","",""
"https://www.google.com/maps/place/Indomaret+Setu/data=!4m7!3m6!1s0x2e69ec5a84a9879d:0x448558df1e6d7529!8m2!3d-6.3496069!4d106.8555755!16s%2Fg%2F1q64zbmqp!19sChIJnYephFrsaS4RKXVtHt9YhUQ?authuser=0&hl=id&rclk=1","Indomaret Setu","4,1","(32)","Minimarket","·","Jl. Kp. Areman Jl. Setu Pedongkelan, RT.13/RW.9","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ya seperti","·","(021) 87721635","https://www.indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+ARH+Depok/data=!4m7!3m6!1s0x2e69ebfd821c3733:0x74c036e3e5c43dc9!8m2!3d-6.388665!4d106.8181315!16s%2Fg%2F1q62fxhrh!19sChIJMzccgv3raS4RyT3E5eM2wHQ?authuser=0&hl=id&rclk=1","Indomaret ARH Depok","3,2","(12)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Mudah dalam penggunaan alat pembayaran, bisa tunai maupun tunai.""","·","(021) 7759857","http://indomaret.co.id/","","Rute","","JR69+G7J, Jl. Arif Rahman Hakim"
"https://www.google.com/maps/place/Indomaret+Nusantara+Cimanggis/data=!4m7!3m6!1s0x2e69ed6092b88a4b:0x6c149ead93a62177!8m2!3d-6.3459111!4d106.8417412!16s%2Fg%2F11j384y9nm!19sChIJS4q4kmDtaS4RdyGmk62eFGw?authuser=0&hl=id&rclk=1","Indomaret Nusantara Cimanggis","4,6","(207)","Minimarket","·","Jl. Nusantara","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasinya strategis, harga murah dan banyak promo""","","","http://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Alfamart+Barito+Raya/data=!4m7!3m6!1s0x2e69eb8eebd87dd3:0x9f07d65401804646!8m2!3d-6.3867449!4d106.8492404!16s%2Fg%2F1ptxkrb0s!19sChIJ033Y647raS4RRkaAAVTWB58?authuser=0&hl=id&rclk=1","Alfamart Barito Raya","4,5","(92)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Lokasi strategis.""","Jl. Barito Raya No.166","0815-1907-6602","","","","","·"
"https://www.google.com/maps/place/Indomaret+Nusantara+Depok/data=!4m7!3m6!1s0x2e69e95ed59f0673:0xecc187e17fd7de7c!8m2!3d-6.3956895!4d106.8142493!16s%2Fg%2F1hm3zj4ht!19sChIJcwaf1V7paS4RfN7Xf-GHwew?authuser=0&hl=id&rclk=1","Indomaret Nusantara Depok","4,4","(233)","Minimarket","·","·","Buka","· Tutup pukul 22.45","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Sebuah","","","http://www.indomaret.co.id/","","Rute","","JR37+MPV, Jl. Nusantara Raya"
"https://www.google.com/maps/place/Indomaret+Margonda+7A+Depok/data=!4m7!3m6!1s0x2e69ebfb3d1c5d97:0xd44b1281de79acd4!8m2!3d-6.3896147!4d106.8260772!16s%2Fg%2F1hm4n569g!19sChIJl10cPfvraS4R1Kx53oESS9Q?authuser=0&hl=id&rclk=1","Indomaret Margonda 7A Depok","3,1","(43)","Minimarket","·","Jl. Margonda No.7A","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Belanja keperluan dapur cukup lengkap dan harga cukup baik""","·","(022) 1500580","http://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Siliwangi+Depok/data=!4m7!3m6!1s0x2e69ebe713875a4f:0xd11c9b1444cd66a6!8m2!3d-6.3999652!4d106.8256218!16s%2Fg%2F1pzq4rnl_!19sChIJT1qHE-fraS4RpmbNRBSbHNE?authuser=0&hl=id&rclk=1","Indomaret Siliwangi Depok","4,1","(230)","Minimarket","·","Jl. Siliwangi No.58","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""point coffe nya enak bgt dan kumplit bgt atm ada gratis parkir pula""","","","http://indomaret.co.id/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Depok+Jaya/data=!4m7!3m6!1s0x2e69e95737cbf575:0x271f57bfa102f73c!8m2!3d-6.3902768!4d106.8125012!16s%2Fg%2F11b5qs9kgg!19sChIJdfXLN1fpaS4RPPcCob9XHyc?authuser=0&hl=id&rclk=1","Indomaret Depok Jaya","4,1","(121)","Minimarket","·","·","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""better cari yang benar2 ingin kerja!""","·","(021) 55657616","http://indomaret.co.id/","","Rute","","JR57+V2J, Jl. Melati Raya"
"https://www.google.com/maps/place/Alfamidi+Tanah+Baru+Depok/data=!4m7!3m6!1s0x2e69eea4e8968da9:0x4f422e7129382908!8m2!3d-6.3682468!4d106.8078676!16s%2Fg%2F11bz_1r9xd!19sChIJqY2W6KTuaS4RCCk4KXEuQk8?authuser=0&hl=id&rclk=1","Alfamidi Tanah Baru Depok","4,5","(603)","Minimarket","·","Jl. Tanah Baru No.40A","","","","Situs Web","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bersih dan lengang pengunjung nya""","","","http://www.alfamidiku.com/","","Rute","",""
"https://www.google.com/maps/place/Indomaret+Jalan+Kalimantan+Depok/data=!4m7!3m6!1s0x2e69e9a6825616a7:0x281c02a58b21b942!8m2!3d-6.3820212!4d106.8140604!16s%2Fg%2F11k9cn9wrm!19sChIJpxZWgqbpaS4RQrkhi6UCHCg?authuser=0&hl=id&rclk=1","Indomaret Jalan Kalimantan Depok","3,2","(11)","Minimarket","·","Jl. Tebu No.249","Segera tutup","· 22.00 · Buka Sel pukul 07.00","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Bintang 4 karena parkir belum gratis, heee""","","","","","","",""
"https://www.google.com/maps/place/Alfamart+Proklamasi+Raya+Depok/data=!4m7!3m6!1s0x2e69ebed9e1de569:0x2b821fc92648a6ad!8m2!3d-6.3918221!4d106.8384998!16s%2Fg%2F1hm4xrkm5!19sChIJaeUdnu3raS4RraZIJskfgis?authuser=0&hl=id&rclk=1","Alfamart Proklamasi Raya Depok","4,4","(253)","Minimarket","·","Jl. Proklamasi No.11, RT.3/RW.14","Buka 24 jam","","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kasirnya cantik cantik""","·","0815-8644-5720","","","","",""
